eng,stationCode,jp
Ōmiya,JS 24,大宮
Urawa,JS 23,浦和
Akabane,JS 22,赤羽
Ikebukuro,JS 21,池袋
Shinjuku,JS 20,新宿
Shibuya,JS 19,渋谷
Ebisu,JS 18,恵比寿
Ōsaki,JS 17,大崎
Nishi-Ōi,JS 16,西大井
Musashi-Kosugi,JS 15,武蔵小杉
Shin-Kawasaki,JS 14,新川崎
Yokohama,JS 13,横浜
Hodogaya,JS 12,保土ヶ谷
Higashi-Totsuka,JS 11,東戸塚
Totsuka,JS 10,戸塚
Ōfuna,JS 09,大船
Kita-Kamakura,JS 08,北鎌倉
Kamakura,JS 07,鎌倉
Zushi,JS 06,逗子
