No.,Station,Japanese,Distance (km),Distance (km),Transfers,Location
No.,Station,Japanese,"Between
stations",Total,Transfers,Location
KD01,Nagatsuta,長津田,-,0.0,"DT Tōkyū Den-en-toshi Line (DT22)
JH Yokohama Line (JH21)",Midori-ku
KD02,Onda,恩田,1.8,1.8,,Aoba-ku
KD03,Kodomonokuni,こどもの国,1.6,3.4,,Aoba-ku
