stationCode,eng,jp
TY 01,Shibuya,渋谷
TY 02,Daikan-yama,代官山
TY 03,Naka-meguro,中目黒
TY 04,Yūtenji,祐天寺
TY 05,Gakugei-daigaku,学芸大学
TY 06,Toritsu-daigaku,都立大学
TY 07,Jiyūgaoka,自由が丘
TY 08,Den-en-chōfu,田園調布
TY 09,Tamagawa,多摩川
TY 10,Shin-maruko,新丸子
TY 11,Musashi-kosugi,武蔵小杉
TY 12,Motosumiyoshi,元住吉
TY 13,Hiyoshi,日吉
TY 14,Tsunashima,綱島
TY 15,Ōkurayama,大倉山
TY 16,Kikuna,菊名
TY 17,Myōrenji,妙蓮寺
TY 18,Hakuraku,白楽
TY 19,Higashi-hakuraku,東白楽
TY 20,Tammachi,反町
TY 21,Yokohama,横浜
