stationCode,eng,jp
TI 10,Tatebayashi,館林
TI 41,Narushima,成島
TI 42,Hon-Nakano,本中野
TI 43,Shinozuka,篠塚
TI 44,Higashi-Koizumi,東小泉
TI 45,Koizumimachi,小泉町
TI 46,Nishi-Koizumi,西小泉
TI 44,Higashi-Koizumi,東小泉
TI 47,Ryūmai,竜舞
TI 18,Ōta,太田
