stationCode,eng,jp
ST 01,Kokubunji,国分寺
ST 02,Hitotsubashi-Gakuen,一橋学園
ST 03,Ōmekaidō,青梅街道
ST 04,Hagiyama,萩山
ST 05,Yasaka,八坂
ST 06,Musashi-Yamato,武蔵大和
ST 07,Tamako,多摩湖
