stationCode,eng,jp
KK 12,Kōjiya,糀谷
KK 13,Ōtorii,大鳥居
KK 14,Anamori-inari,穴守稲荷
KK 15,Tenkūbashi,天空橋
KK 16,Haneda Airport Terminal 3,羽田空港第3ターミナル
KK 17,Haneda Airport Terminal 1·2,羽田空港第1・第2ターミナル
