stationCode,eng,jp
A 01,Nishi-magome,西馬込
A 02,Magome,馬込
A 03,Nakanobu,中延
A 04,Togoshi,戸越
A 05,Gotanda,五反田
A 06,Takanawadai,高輪台
A 07,Sengakuji,泉岳寺
A 08,Mita,三田
A 09,Daimon,大門
A 10,Shimbashi,新橋
A 11,Higashi-ginza,東銀座
A 12,Takaracho,宝町
A 13,Nihombashi,日本橋
A 14,Ningyocho,人形町
A 15,Higashi-nihombashi,東日本橋
A 16,Asakusabashi,浅草橋
A 17,Kuramae,蔵前
A 18,Asakusa,浅草
A 19,Honjo-azumabashi,本所吾妻橋
A 20,Oshiage,押上
