stationCode,eng,jp
CM 01,Chiba-Minato,千葉みなと
CM 02,Shiyakusho-mae,市役所前
CM 03,Chiba,千葉
CM 16,Sakaechō,栄町
CM 17,Yoshikawakōen,葭川公園
CM 18,Kenchō-mae,県庁前
CM 04,Chibakōen,千葉公園
CM 05,Sakusabe,作草部
CM 06,Tendai,天台
CM 07,Anagawa,穴川
CM 08,Sports Center,スポーツセンター
CM 09,Dōbutsu-Kōen,動物公園
CM 10,Mitsuwadai,みつわ台
CM 11,Tsuga,都賀
CM 12,Sakuragi,桜木
CM 13,Oguradai,小倉台
CM 14,Chishirodai-Kita,千城台北
CM 15,Chishirodai,千城台
